,Team that won + over or under 217.5 total points.,,,
Win Margin,Miami + over ,Miami + under ,Washington + over,Washington + under 
Under 1.5,19.1x,13.2x,12.6x,9.1x
Under 2.5,11.4x,6.7x,8.8x,5.5x
Under 3.5,7.9x,5.3x,6.9x,4.4x
